Model,Accuracy,AUC,Precision,Recall,F1 (tumor)
CNN_Light,0.6347305178642273,0.7282388210296631,0.7027027010917664,0.5714285969734192,0.6303030303030303
Transformer_Light,0.544910192489624,0.5636929273605347,0.544910192489624,1.0,0.7054263565891473
